GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Registermachine,de.weltraumschaf.registermachine.asm,LineParser,7,0,0,0,3,0,2,0,2,0
Registermachine,de.weltraumschaf.registermachine.asm,Token,3,0,0,0,1,0,1,0,1,0
Registermachine,de.weltraumschaf.registermachine.asm,AssemblerSyntaxException,21,0,0,0,4,0,2,0,2,0
Registermachine,de.weltraumschaf.registermachine.asm,TokenType,58,0,0,0,2,0,4,0,4,0
Registermachine,de.weltraumschaf.registermachine.asm,Disassembler,121,0,12,0,27,0,9,0,3,0
Registermachine,de.weltraumschaf.registermachine.asm,Assembler,48,189,3,13,4,49,4,16,1,11
Registermachine,de.weltraumschaf.registermachine.instr,Add,17,31,0,0,1,8,1,2,1,2
Registermachine,de.weltraumschaf.registermachine.instr,Nop,3,3,0,0,2,1,2,1,2,1
Registermachine,de.weltraumschaf.registermachine.instr,Le,17,34,0,2,1,10,1,3,1,2
Registermachine,de.weltraumschaf.registermachine.instr,Print,28,0,0,0,7,0,3,0,3,0
Registermachine,de.weltraumschaf.registermachine.instr,Not,32,0,2,0,9,0,4,0,3,0
Registermachine,de.weltraumschaf.registermachine.instr,Factory.new Object() {...},17,107,0,0,0,1,0,1,0,1
Registermachine,de.weltraumschaf.registermachine.instr,Lt,17,34,0,2,1,10,1,3,1,2
Registermachine,de.weltraumschaf.registermachine.instr,Test,17,23,0,2,1,7,1,3,1,2
Registermachine,de.weltraumschaf.registermachine.instr,Sub,48,0,0,0,9,0,3,0,3,0
Registermachine,de.weltraumschaf.registermachine.instr,Mul,48,0,0,0,9,0,3,0,3,0
Registermachine,de.weltraumschaf.registermachine.instr,Jmp,27,0,0,0,7,0,3,0,3,0
Registermachine,de.weltraumschaf.registermachine.instr,PrintLn,10,18,0,0,1,6,1,2,1,2
Registermachine,de.weltraumschaf.registermachine.instr,Unm,30,0,0,0,6,0,3,0,3,0
Registermachine,de.weltraumschaf.registermachine.instr,Mod,48,0,0,0,9,0,3,0,3,0
Registermachine,de.weltraumschaf.registermachine.instr,Loadc,17,19,0,0,1,6,1,2,1,2
Registermachine,de.weltraumschaf.registermachine.instr,Move,17,18,0,0,1,6,1,2,1,2
Registermachine,de.weltraumschaf.registermachine.instr,Pow,53,0,0,0,10,0,3,0,3,0
Registermachine,de.weltraumschaf.registermachine.instr,Eq,17,34,0,2,1,10,1,3,1,2
Registermachine,de.weltraumschaf.registermachine.instr,Factory,146,85,13,7,25,18,14,7,1,2
Registermachine,de.weltraumschaf.registermachine.instr,Div,48,0,0,0,9,0,3,0,3,0
Registermachine,de.weltraumschaf.registermachine.typing,Value,42,96,5,7,10,25,10,17,6,14
Registermachine,de.weltraumschaf.registermachine.typing,Type,5,53,0,0,0,2,1,3,1,3
Registermachine,de.weltraumschaf.registermachine.typing,Value.new Object() {...},4,29,0,0,0,1,0,1,0,1
Registermachine,de.weltraumschaf.registermachine.vm,Scope,61,6,4,0,12,2,6,1,4,1
Registermachine,de.weltraumschaf.registermachine.vm,RuntimeConfiguration,34,38,2,0,6,11,3,6,2,6
Registermachine,de.weltraumschaf.registermachine.vm,Executor,36,107,3,9,3,33,3,7,0,4
Registermachine,de.weltraumschaf.registermachine.vm,RegisterMachine,91,92,7,7,12,29,9,7,3,6
Registermachine,de.weltraumschaf.registermachine.vm,Register,30,31,3,3,4,8,4,3,1,3
Registermachine,de.weltraumschaf.registermachine,App,339,0,10,0,70,0,23,0,18,0
Registermachine,de.weltraumschaf.registermachine,Const,0,8,0,0,0,2,0,1,0,1
Registermachine,de.weltraumschaf.registermachine,ByteArray,3,50,0,4,2,9,1,5,1,3
Registermachine,de.weltraumschaf.registermachine,FileIo,19,0,0,0,3,0,3,0,3,0
Registermachine,de.weltraumschaf.registermachine,ByteInt,29,114,2,2,4,20,3,4,1,4
Registermachine,de.weltraumschaf.registermachine.bytecode,ByteCodeReader,0,14,0,0,0,6,0,3,0,3
Registermachine,de.weltraumschaf.registermachine.bytecode,OpCode.ArgCount,9,59,0,0,0,6,2,3,2,3
Registermachine,de.weltraumschaf.registermachine.bytecode,OpCode,11,352,1,7,2,43,3,14,2,11
Registermachine,de.weltraumschaf.registermachine.bytecode,ByteCodeWriter,19,0,0,0,8,0,3,0,3,0
Registermachine,de.weltraumschaf.registermachine.bytecode,ByteCodeFile,23,48,3,5,8,9,6,5,3,4
